,CH4 burden [Tg],CH4 surface conc. [ppbv],CH4 chem loss OH [Tg/yr],CH4 chem loss other strat [Tg/yr],CH4 loss soil [Tg/yr],CH4 total loss [Tg/yr],CH4 lifetime due to OH (whole atmosphere) [yrs],Total CH4 lifetime [yrs]
GFDL-emi,4954.568,1832.1614764827075,540.4098,20.644033333333333,30.966050000000003,592.0198833333334,9.168168304867898,8.368921618144975
GFDL_nudge,4876.041,1816.161056878192,527.5891,20.316837500000002,30.47525625,578.3811937500001,9.24211853504934,8.43049714045098
INCA,5003.079000000001,1813.1760000000002,592.6245,20.846162500000002,31.269243750000005,644.73990625,8.442241250572666,7.759840753613971
OSLOCTM3,4995.020357632,1813.1,682.9603558549434,20.81258482346667,31.2188772352,734.99181791361,7.3137779005915124,6.7960217187330745
OSLOCTM3-emi,4995.046222506667,1813.06,681.1711126421301,20.81269259377778,31.219038890666667,733.2028441265745,7.333027090846315,6.812638906845756
UKCA,4920.619000000001,1805.6329999999998,631.9657,20.50257916666667,30.753868750000002,683.2221479166667,7.78621213144954,7.202077706357044
WACCM6-2deg,5002.862,1807.848,727.0656,20.845258333333334,31.2678875,779.1787458333334,6.880894928875744,6.420685916746135
