,h2_agwp_ch4,h2_agwp_o3,h2_agwp_h2o,h2_agwp_ch4ind_o3,h2_agwp_ch4ind_h2o
OSLOCTM3,0.4499608192964559,0.2051578409910171,0.16287608876016807,0.2299113512812515,0.05658411690455065
WACCM6-2deg,0.5487003208325114,0.19162190477081653,0.056066298212845346,0.29238894075760946,0.025788062202687218
INCA,0.4055731467609912,0.12440280976454218,0.09670558042073846,0.11133951421077368,0.03345128642838439
GFDL-emi,0.38728335706606376,0.33928508971463495,0.21895659311385898,,
OSLOCTM3-emi,0.45424937170735014,0.206509045659155,0.1637570098393639,0.23210262402666706,0.05712341708483914
UKCA,0.5204086531644764,0.134514139829442,,0.16662933982954709,
GFDL_nudge,0.435127688061678,0.18894896391222105,0.14512517444992318,0.18058555913922536,0.10814963641162754
