,antro01,antro1,antro10,antro100,nemo,epia,munich,usdrydep,maud,zep,maxdep,SSP119,SSP434,SSP585
O3,2.130105828035485,2.3845019707223223,2.416829362474907,2.41402156248909,2.5920122071434633,2.0603817354355787,2.2183185640699827,1.8932657896002127,2.6227454219323936,2.140647454974333,2.2719117748391318,2.492729137523599,2.0567724614623404,2.0197930696860995
strat H2O,1.8714807211489919,1.8715240053896245,1.8784524734015124,1.8980958717608076,2.0527662925900105,1.5738402605902504,1.6894779495319334,1.4529792781154585,2.0538688816819226,1.6463049327130874,1.7961116358364257,,,
O3 CH4ind,2.790165932336908,2.8115708211876496,2.8026290476136704,2.6607971146175937,3.2457267064135915,2.5250800230264425,2.703812958485938,2.319217943448298,3.2482151566004505,2.6692537002959145,2.579251791850896,2.9362649974631427,2.7936833405775032,3.033360267638422
strat H2O CH4ind,0.6522421373685102,0.6572458435253156,0.6551555730363225,0.6220002821440037,0.7587361381522421,0.5902744249571841,0.6320558654411232,0.5421511498390208,0.7593178498166996,0.623977132858774,0.6029378690461531,,,
CH4dir,3.264322472928655,3.289364875925631,3.2789035509961377,3.1129689157501867,3.7973005497406565,2.9541882687259227,3.1632948064809283,2.713342301501339,3.8002118833547565,3.1228626006934572,3.017565905275249,3.1828878243458707,3.184471613896362,3.435733244262384
CH4indir,1.5165222041304436,1.5281562753671696,1.5232962066479272,1.4462071442554474,1.7641304274304481,1.3724416450452972,1.4695872886403065,1.2605506599785967,1.7654829598796864,1.4508035016991654,1.4018853026095979,1.641063038404134,2.269992177234498,2.3180389942472774
