,deltaH2,surf_h2_per_h2_flux,surf_ch4_per_h2_flux,ch4_flux_per_h2_flux,ch4_rf_per_h2_flux,trop_du_ozone_per_h2_flux,strat_du_ozone_per_h2_flux,ozone_rf_per_h2_flux,h2o_rf_per_h2_flux,aerosol_rf_per_h2_flux
GFDL-emi,208.95877876177065,6.558424224971524,0.9427696752793306,0.1997129740801375,0.36323030049162053,7.513289686852971,4.929820709767599,0.3658855610328996,0.23612312577808212,-0.06891311331991046
GFDL_nudge,31.495311735120097,6.766148102879836,1.1087761463844672,0.25261226655717445,0.42718927367900755,3.9643261507101757,-2.3502084828242595,0.20330327427303949,0.15615022455916794,-0.0039370939091778814
INCA,7.924392988153883,6.7109241148815375,1.0278483051437661,0.26811438468236576,0.39600939500579024,3.58141199479409,-5.073416824140295,0.13376418882614557,0.10398272791768298,0.027636186182005543
OSLOCTM3,8.486674889434994,6.268650642694969,1.1327120856587007,0.3140508050693351,0.43641131236258424,4.5044401826187945,0.7778010458273797,0.21966200240811987,0.1743910329170783,-0.03299289811944725
OSLOCTM3-emi,13.865031889301065,6.429631708874043,1.14302856758993,0.31691110778615633,0.4403860465210483,4.573676893373442,0.7492067770980689,0.22101644081789965,0.17526104659558026,-0.028128316120278312
UKCA,8.325618632513724,6.430633249391962,1.0986618861620776,0.3152221170721941,0.42329245150052525,3.815112998876381,,0.13678262844669434,,
WACCM6-2deg,8.53254552185821,6.232372257935408,1.3809483286620439,0.384076230038437,0.5320517720669122,3.8489439893206745,-1.281727077583066,0.20508534006847096,0.06000553981087898,
