,deltaH2,surf_h2_per_h2_flux,surf_ch4_per_h2_flux,ch4_flux_per_h2_flux,ch4_rf_per_h2_flux,trop_du_ozone_per_h2_flux,strat_du_ozone_per_h2_flux,ozone_rf_per_h2_flux,h2o_rf_per_h2_flux,aerosol_rf_per_h2_flux
GFDL,31.49531173512009,6.766148102879836,1.1087761463844672,0.25261226655717445,0.4224215362495543,8.017312540084813,2.396558011619597,0.40715476860664046,0.27823343597004724,-0.006207841641420237
GFDL-emi,208.95877876177062,6.558424224971524,0.9427696752793306,0.0,0.35917639088791936,7.513289686852971,4.929820709767599,0.3658855610328996,0.2361231257780821,-0.06891311331991046
INCA,7.924392988153883,6.7109241148815375,1.027848305143766,0.26811438468236576,0.391589647293672,6.605541429889631,-3.6539223371553575,0.2587650140230861,0.14153847294753377,0.0424884204428673
OsloCTM,8.486674889434994,6.268650642694969,1.1327120856587007,0.3140508050693351,0.43154065039425177,9.695061553838936,5.94139515620015,0.47605666232246235,0.23749302996701138,-0.039927870072459695
OsloCTM-emi,13.865031889301065,6.429631708874044,1.14302856758993,0.31691110778615633,0.4354710236804116,9.811573253768707,5.95982971855185,0.4797462845002619,0.23893776216457244,-0.035126450207563595
UKCA,6.3921933333333385,8.375685341181805,1.4305292046487812,0.4089620773640982,0.5450030163870926,11.001463922881296,,0.39087550555297707,,
WACCM,8.532545521858209,6.232372257935407,1.380948328662044,0.38407623003843705,0.5261136942536655,10.53782850853469,4.8196242760998675,0.5310772953338103,0.08875731406805704,
