,H2 burden [Tg],H2 atm loss [Tg/yr],H2 atm prod [Tg/yr],H2 soil sink [Tg/yr],H2 estimated emissions [Tg/yr],H2 atm lifetime [yrs],H2 soil sink lifetime [yrs],H2 total lifetime [yrs]
GFDL-emi,192.3998,22.31953,45.09539,53.0,30.22414,8.620244243494374,3.630184905660377,2.554447697695405
GFDL_nudge,187.9586,21.69856,45.03848,53.0,29.66008,8.662261458824917,3.546388679245283,2.516227889801356
INCA,194.5285,22.46967,47.10366,53.0,28.36601000000001,8.657381261051007,3.6703490566037735,2.5775718908006353
OSLOCTM3,196.23519709866667,28.39208905937533,56.326479619932435,53.0,25.065609439442902,6.911615298482871,3.702550888654088,2.4109861212127575
OSLOCTM3-emi,208.86976512,30.066624949620085,56.22570704135994,53.0,26.840917908260153,6.9468976138819745,3.940938964528302,2.5144847915354633
UKCA,191.18468000000001,26.75437,49.407090000000004,53.0,30.34727999999999,7.145923451010059,3.6072581132075476,2.397168706868351
WACCM6-2deg,194.5694,29.02412,33.94021,53.0,48.083909999999996,6.70371401441284,3.671120754716981,2.3720998164930025
