,GFDL-emi,GFDL_nudge,INCA,OSLOCTM3,OSLOCTM3-emi,UKCA,WACCM6-2deg
O3,4.3558166252024435,2.5636870195386607,1.6847381326832063,2.745471283522812,2.7603299036551263,1.8047888508236736,2.5614043248268343
strat H2O,3.140555157631394,1.9690794712078732,1.3096454918216622,2.1796467651613356,2.188879280081568,,0.7494365474091886
O3 CH4ind,,2.4502111273626257,1.5078270789891624,3.076728677049393,3.102429783512144,2.2356815062400806,3.908354309930319
strat H2O CH4ind,,1.4673899940786188,0.453017563991311,0.7572221822696193,0.7635475524810519,,0.34470826356656825
CH4dir,5.298165300528685,4.8530065614252615,4.574501272052841,4.60639739854255,6.071783056466631,5.24153052680334,5.265213273759875
CH4indir,,1.050869186969036,0.9180157155764588,1.4150858756107743,,1.7408412617261835,2.0692476611483928
