,GFDL-emi,GFDL_nudge,INCA,OSLOCTM3,OSLOCTM3-emi,UKCA,WACCM6-2deg
O3,1.9108579558783936,1.592125908687571,1.1065300059297924,1.7545542581520963,1.7847968160181147,1.479039730397615,1.6408374126214322
strat H2O,1.8986799195499509,,0.5291367629323086,1.3929515620990787,0.7716848494210503,,0.48008957955435927
O3 CH4ind,,1.5216540037444262,0.9624671402321366,1.966251635518454,1.990964840454366,1.9038809420539353,2.5036945207576475
strat H2O CH4ind,,,0.19516641498827197,0.48391961418136764,0.49000184922277334,,0.22082035616849865
CH4dir,3.203102496743611,3.0138614513351754,2.8519630282675914,2.943820326535358,3.896528665543701,3.1713733436739795,3.3728993276374846
CH4indir,,0.6526210284108414,0.5723349332500599,0.9043419844180433,,0.990416573318442,1.3255615076004137
