,antro01,antro1,antro10,antro100,nemo,epia,munich,usdrydep,maud,zep,maxdep
O3,9.17081022662567,9.17081022662567,9.17081022662567,9.17081022662567,9.17081022662567,9.17081022662567,9.17081022662567,9.17081022662567,9.17081022662567,9.17081022662567,9.17081022662567
CH4,15.713839362793982,15.713839362793982,15.713839362793982,15.713839362793982,15.713839362793982,15.713839362793982,15.713839362793982,15.713839362793982,15.713839362793982,15.713839362793982,15.713839362793982
strat H2O,2.1438111598636818,2.1438111598636818,2.1438111598636818,2.1438111598636818,2.1438111598636818,2.1438111598636818,2.1438111598636818,2.1438111598636818,2.1438111598636818,2.1438111598636818,2.1438111598636818
H2,,,,,,,,,,,
