,CH4,O3,StratH2O,Total
GFDL,1.3604753938821899,1.2966712376007656,0.886093745127539,3.5432403766104947
INCA,1.2611764172158926,0.824092401347408,0.4507594679857764,2.5360282865490773
OsloCTM,1.3898449438298857,1.5161040201352303,0.7563472291943036,3.6622961931594196
UKCA,1.348065132167278,0.90557020043906,,2.253635332606338
WACCM,1.6944323951175548,1.691328966031243,0.28266660531228355,3.6684279664610813
GFDL-emi,1.156784396470129,1.1652406402321642,0.7519844770002614,3.0740095137025545
OsloCTM-emi,1.4025033328695806,1.5278544092365025,0.76094828714832,3.6913060292544033
Model mean,1.4107988564425602,1.2467533651107412,0.5939667619049758,3.2515189834582774
