,CTRL,CTRL,CTRL
GFDL-emi,4935.0,8.475615473949205,582.2586
GFDL_nudge,4856.64,8.5202043105921,570.0145
INCA,4994.5,9.087992768181309,549.5713
OSLOCTM3,4995.020357632,7.3137779005915124,682.9603558549434
OSLOCTM3-emi,4995.048013824001,7.333009935043634,681.172950544254
UKCA,4920.747,7.4916610830292605,656.8299
WACCM6-2deg,5002.862,6.880894928875744,727.0656
