,deltaCH4,surf_ch4_per_ch4_flux,h2_flux_per_ch4_flux,trop_du_ozone_per_ch4_flux,strat_du_ozone_per_ch4_flux,ozone_rf_per_ch4_flux,h2o_rf_per_ch4_flux,aerosol_rf_per_ch4_flux
GFDL-emi,,,,,,,,
GFDL_nudge,43.41762916666664,4.183616045195985,0.01194941089176958,0.01529266204439895,0.017910421804896992,0.7691691287841895,0.46064237923324375,-0.2606314581701693
INCA,49.38223333333349,3.6717051409177364,0.009985649697473545,0.010802869974171788,0.005070753319613615,0.446531039840913,0.13415756139016216,
OSLOCTM3,52.351922278819075,3.4631011070505022,0.014291355095339438,0.0158695637175083,0.01578693183060065,0.7838890763444516,0.1929251030403201,-0.021202659839084686
OSLOCTM3-emi,,3.4631011070505022,0.014291355095339438,0.0158695637175083,0.01578693183060065,0.7838890763444516,0.1929251030403201,
UKCA,47.58178333333342,3.796368848442345,0.015730333346593947,0.015430618171719037,,0.53849179675555,,
WACCM6-2deg,52.37247500000012,3.451908660035628,0.016399358036155325,0.016719972730785442,0.015251336446530074,0.814870788520113,0.07186981329410136,
