,H2 burden [Tg],H2 atm loss [Tg/yr],H2 atm prod [Tg/yr],H2 soil sink [Tg/yr],H2 estimated emissions [Tg/yr],H2 atm lifetime [yrs],H2 soil sink lifetime [yrs],H2 total lifetime [yrs]
GFDL-emi,192.3998,22.31953,45.09539,90.0,67.22414,8.620244243494374,2.1377755555555558,1.7129683502058815
GFDL_nudge,187.9586,21.69856,45.03848,90.0,66.66008,8.662261458824917,2.0884288888888887,1.682730735293275
INCA,194.5285,22.46967,47.10366,90.0,65.36601000000002,8.657381261051007,2.161427777777778,1.729608524680476
OSLOCTM3,196.23519709866667,28.39208905937533,56.326479619932435,90.0,62.0656094394429,6.911615298482871,2.180391078874074,1.6575026140492537
OSLOCTM3-emi,208.86976512,30.066624949620085,56.22570704135994,90.0,63.84091790826015,6.9468976138819745,2.320775168,1.7396155276925764
UKCA,191.18468000000001,26.75437,49.407090000000004,90.0,67.34727999999998,7.145923451010059,2.124274222222222,1.637494853511693
WACCM6-2deg,194.5694,29.02412,33.94021,90.0,85.08391,6.70371401441284,2.1618822222222223,1.6347056378152598
