,OSLOCTM3,WACCM6-2deg,INCA,GFDL-emi,OSLOCTM3-emi,UKCA
O3,1.9202837760551952,1.7736170742542041,1.221540237160971,2.9420066549940973,1.9525908923839606,1.6207141102991192
strat H2O,1.524525259393675,0.5252122278878847,0.5841340437395527,2.1257393469892527,0.8442332456261721,
O3 CH4ind,2.1519774026850143,2.7502881900818363,1.1465354041175269,,2.1781413882175054,2.086250047040229
strat H2O CH4ind,0.5296290950877024,0.2415748147125146,0.2324912665847248,,0.5360683857439015,
CH4dir,3.2218840690746635,3.6899113118731015,3.364052772176842,3.5861552753880472,4.262852956689966,3.4751531155536592
CH4indir,0.9897632020297369,1.4501483520127256,0.7147469914518366,,,1.0852866778769863
