,GFDL-emi,GFDL_nudge,INCA,OSLOCTM3,OSLOCTM3-emi,UKCA,WACCM6-2deg
O3,4.435887184785092,2.458300175216921,1.6161912092695405,2.641039103794554,2.6560464337566767,1.7350969775674958,2.464621664141612
strat H2O,3.001411025519817,1.8881354752724178,1.2563599589038692,2.096737406724568,2.1061848433718593,,0.72111908797103
O3 CH4ind,,2.3494889968268837,1.446478133832974,2.959696135458055,2.9852220024738947,2.1493507246071175,3.7606771449668432
strat H2O CH4ind,,1.4070692140119978,0.434585642933941,0.7284189806089063,0.7347012221566381,,0.33168346206030436
CH4dir,5.063426989776729,4.653511442448789,4.388378584931302,4.4311793498558,5.842395038476277,5.039128965548319,5.066267193763668
CH4indir,,1.007670549005207,0.8806644194151141,1.3612588684300322,,1.6736187229145234,1.9910611396681674
