,h2_agwp_ch4,h2_agwp_o3,h2_agwp_h2o,h2_agwp_ch4ind_o3,h2_agwp_ch4ind_h2o
OSLOCTM3,0.48177195711562104,0.21966200240811987,0.1743910329170783,0.24616552579634354,0.06058447663373961
WACCM6-2deg,0.5872522352191584,0.20508534006847096,0.06000553981087898,0.31293231021397716,0.027599942255403635
INCA,0.4360927465290592,0.13376418882614557,0.10398272791768298,0.11971787318059579,0.03596851391663063
GFDL-emi,0.41764696614874347,0.3658855610328996,0.23612312577808212,,
OSLOCTM3-emi,0.4861606863664029,0.22101644081789965,0.17526104659558026,0.24840798475984283,0.06113637439536461
UKCA,0.5577183590490812,0.14415787454415074,,0.1785755125593487,
GFDL_nudge,0.4681840105293914,0.20330327427303949,0.15615022455916794,0.19430450794367932,0.11636568276784555
