,CH4 burden [Tg],CH4 surface conc. [ppbv],CH4 chem loss OH [Tg/yr],CH4 chem loss other strat [Tg/yr],CH4 loss soil [Tg/yr],CH4 total loss [Tg/yr],CH4 lifetime due to OH [yrs],Total CH4 lifetime [yrs]
GFDL-emi,4954.568,1832.1614764827075,540.4098,41.288066666666666,30.966050000000003,612.6639166666666,9.168168304867898,8.086926396704445
GFDL_nudge,4876.041,1816.161056878192,527.5891,40.633675000000004,30.47525625,598.6980312500001,9.24211853504934,8.144407941044152
INCA,5003.079000000001,1813.1760000000002,592.6245,41.692325000000004,31.269243750000005,665.58606875,8.442241250572666,7.516802461620033
OSLOCTM3,4995.020357632,1813.1,682.9603558549434,41.62516964693334,31.2188772352,755.8044027370768,7.3137779005915124,6.6088796777883125
OSLOCTM3-emi,4995.046222506667,1813.06,681.1711126421301,41.62538518755556,31.219038890666667,754.0155367203523,7.333027090846315,6.6245932334935675
UKCA,4920.619000000001,1805.6329999999998,631.9657,41.00515833333334,30.753868750000002,703.7247270833334,7.78621213144954,6.992249683188001
WACCM6-2deg,5002.862,1807.848,727.0656,41.69051666666667,31.2678875,800.0240041666667,6.880894928875744,6.253389865734289
