,CH4,O3,StratH2O,Total
GFDL,1.403237364417119,1.3374277389716211,0.9139451232492739,3.654610226638014
INCA,1.38322610058305,0.9038435093420908,0.49438147803244437,2.7814510879575853
OsloCTM,1.3814044325744776,1.5068967390618044,0.7517539417708738,3.640055113407156
UKCA,1.6344812685899546,1.0979718224973924,,2.732453091087347
WACCM,1.45623354264071,1.4535663854583303,0.24293007689549778,3.152730004994538
GFDL-emi,1.2268134421148904,1.2357816072705767,0.7975078739484699,3.260102923333937
OsloCTM-emi,1.4131651660975202,1.539469161605413,0.7667330175960273,3.71936734529896
Model mean,1.4517165417610625,1.2599412390662479,0.6007526549870225,3.3124104358143325
