,CH4 burden [Tg],CH4 chem loss OH [Tg/yr],CH4 lifetime [yrs]
GFDL-emi,4954.6990000000005,540.3848,9.1688348747041
GFDL_nudge,4876.041,527.5891,9.24211853504934
INCA,5003.079000000001,592.6245,8.442241250572666
OSLOCTM3,4995.020357632,682.9603558549434,7.3137779005915124
OSLOCTM3-emi,4995.046222506667,681.1711126421301,7.333027090846315
UKCA,4920.619000000001,631.9657,7.78621213144954
WACCM6-2deg,5002.862,727.0656,6.880894928875744
