,H2 burden [Tg],H2 atm loss [Tg/yr],H2 atm prod [Tg/yr],H2 soil sink [Tg/yr],H2 estimated emissions [Tg/yr],H2 atm lifetime [yrs],H2 soil sink lifetime [yrs],H2 total lifetime [yrs]
GFDL-emi,192.3998,22.31953,45.09539,65.0,42.22414,8.620244243494374,2.959996923076923,2.2033993998822488
GFDL_nudge,187.9586,21.69856,45.03848,65.0,41.66008,8.662261458824917,2.8916707692307693,2.1679552693839437
INCA,194.5285,22.46967,47.10366,65.0,40.36601000000001,8.657381261051007,2.992746153846154,2.223953743051734
OSLOCTM3,196.23519709866667,28.39208905937533,56.326479619932435,65.0,37.0656094394429,6.911615298482871,3.0190030322871797,2.1011972114030706
OSLOCTM3-emi,208.86976512,30.066624949620085,56.22570704135994,65.0,38.84091790826015,6.9468976138819745,3.213381001846154,2.1970882550073605
UKCA,191.18468000000001,26.75437,49.407090000000004,65.0,42.34727999999999,7.145923451010059,2.9413027692307696,2.0836574868314175
WACCM6-2deg,194.5694,29.02412,33.94021,65.0,60.083909999999996,6.70371401441284,2.9933753846153848,2.069356246035592
