,deltaH2,surf_h2_per_h2_flux,surf_ch4_per_h2_flux,ch4_flux_per_h2_flux,ch4_rf_per_h2_flux,trop_du_ozone_per_h2_flux,strat_du_ozone_per_h2_flux,ozone_rf_per_h2_flux,h2o_rf_per_h2_flux,aerosol_rf_per_h2_flux
GFDL,29.102636643412996,7.322427392310681,1.1437376709596672,0.273384951822482,0.5066757882351326,8.471037149363916,2.353008782031206,0.43029713089792054,0.2949208196909552,0.017280255758672865
GFDL-emi,192.5760900741329,7.1163575713065175,1.0229722699436057,0.0,0.4531767155850172,8.15245463153727,5.349206719437341,0.3970119030382658,0.2686262867840236,-0.07529491326996081
INCA,7.32807810800263,7.257018718444723,1.064513202909716,0.28992339037432696,0.4715793488890042,7.004850430905302,-4.016130948281422,0.27410890620767503,0.151339631364484,0.04542259120892771
OsloCTM,7.886687572858406,6.745544248904286,1.1702555768320135,0.3379212851884396,0.5184232205365821,10.20978315386413,6.171713299297879,0.5012658039131085,0.25285149666634593,-0.042667694530154156
OsloCTM-emi,12.891004355230365,6.9154463239188635,1.1803484332813243,0.34083568362421235,0.5228943559436268,10.328171573300825,6.186565570209909,0.5048935250426361,0.2542593028648005,-0.03748027818761171
UKCA,7.737078203206295,6.9197956378175425,1.3561871740799647,0.35723272111360044,0.6007909181174244,9.79767817680887,,0.3476580693446279,,
WACCM,7.933045299296353,6.703352621056747,1.4258033540454838,0.4130478220796166,0.6316308858421493,11.04595700308084,4.920944111936452,0.5571642434152069,0.09422582822780443,
