,deltaH2,surf_h2_per_h2_flux,surf_ch4_per_h2_flux,ch4_flux_per_h2_flux,ch4_rf_per_h2_flux,trop_du_ozone_per_h2_flux,strat_du_ozone_per_h2_flux,ozone_rf_per_h2_flux,h2o_rf_per_h2_flux,aerosol_rf_per_h2_flux
GFDL-emi,192.57609007413294,7.1163575713065175,1.0229722699436055,0.2167141871935801,0.4531767155850172,8.15245463153727,5.349206719437342,0.3970119030382658,0.2686262867840236,-0.07529491326996081
GFDL_nudge,29.102636643412993,7.322427392310681,1.1437376709596672,0.273384951822482,0.5066757882351326,4.29025347311841,-2.543431020220888,0.22001786568191442,0.16898812503688138,0.016115378333122682
INCA,7.328078108002629,7.257018718444723,1.064513202909716,0.28992339037432696,0.47157934888900416,3.8728457422203992,-5.486260942455674,0.14464911322962387,0.11244421632189629,0.030157975494100823
OSLOCTM3,7.886687572858406,6.745544248904287,1.1702555768320135,0.33792128518843956,0.518423220536582,4.847119787063894,0.8369730059190225,0.23637299978961257,0.1876579979018488,-0.035502864467917346
OSLOCTM3-emi,12.891004355230365,6.915446323918864,1.1803484332813245,0.34083568362421235,0.5228943559436268,4.919257974825886,0.8058158673982985,0.23771615582122255,0.1885035434817814,-0.03025365512670565
UKCA,7.737078203206295,6.919795637817542,1.3561871740799647,0.35723272111360044,0.6007909181174244,4.285356458860709,,0.15529117949229088,,
WACCM6-2deg,7.933045299296353,6.703352621056747,1.4258033540454838,0.4130478220796166,0.6316308858421493,4.139808681399331,-1.3785871911062753,0.2205836389406743,0.06454015837340718,
