,CH4,O3,StratH2O,Total
GFDL,14.35189322442032,15.215004917642531,10.52745485075171,40.094352992814564
INCA,13.304370926834162,9.704239254599116,5.540851141985736,28.549461323419013
OsloCTM,14.661717751048336,17.653449010534665,9.296566670648577,41.611733432231574
UKCA,14.220975199867684,10.586570653740182,,24.807545853607866
WACCM,17.874864124761796,19.39178400289765,3.4353112389328264,40.70195936659228
GFDL-emi,12.203121215180495,15.05701897254731,9.717001060826425,36.97714124855423
OsloCTM-emi,14.795253314210902,17.787640282266757,9.351678003075818,41.93457159955348
Model mean,14.88276424538646,14.510209567882828,7.200045975579712,36.593019788849
