,CH4,O3,StratH2O,Total
GFDL,14.802996741575335,15.693237449375758,10.858350004137064,41.35458419508816
INCA,14.591894414312566,10.643361896106782,6.0770640922379995,31.31232040265735
OsloCTM,14.572677319415488,17.546239831746995,9.240108735561202,41.359025886723686
UKCA,17.24242919026982,12.835842289254675,,30.078271479524496
WACCM,15.36206270821287,16.665737976937084,2.952384214300583,34.980184899450535
GFDL-emi,12.941869883639475,15.968535995183585,10.305245778593397,39.21565165741646
OsloCTM-emi,14.907726860408102,17.922861960364358,9.422769478535049,42.25335829930751
Model mean,15.314412074757218,14.676883888684259,7.2819767615592115,37.27327272500069
