,H2 burden [Tg],H2 lifetime [yrs],H2 atm.loss[Tg/yr],H2 drydep [Tg/yr],H2 atm. prod [Tg/yr],H2 atmospheric lifetime [yrs],H2 estimated emissions [Tg/yr]
OSLOCTM3,196.210864128,2.5030200276664547,28.389650086390155,50.0,56.323356482425005,6.911351972670577,22.066293603965157
WACCM6-2deg,194.5694,2.462152061927422,29.02412,50.0,33.94021,6.70371401441284,45.083909999999996
INCA,194.4,2.695298202025356,22.1256,50.0,46.678000000000004,8.78620240807029,25.447599999999987
GFDL-emi,191.7,2.6579187816555074,22.1241,50.0,44.684,8.664759244443841,27.4401
WACCM-emi,179.93200000000002,2.339951222189248,26.89562,50.0,34.023340000000005,6.690011236030253,42.87228
