,deltaH2,surf_h2_per_h2_flux,surf_ch4_per_h2_flux,ch4_flux_per_h2_flux,ch4_rf_per_h2_flux,trop_du_ozone_per_h2_flux,strat_du_ozone_per_h2_flux,ozone_rf_per_h2_flux,h2o_rf_per_h2_flux,aerosol_rf_per_h2_flux
GFDL,33.88798682682723,6.288421464372469,0.9822295441572868,0.23478004041149364,0.43512768806167795,7.274835103383225,2.02073849804507,0.3695345230514464,0.25327481086155074,0.014840096787684732
GFDL-emi,225.3414674494084,6.0816161897025935,0.8742287969888572,0.0,0.38728335706606376,6.967061390068732,4.5714147808094765,0.3392850897146349,0.2295671568377187,-0.0643467896260834
INCA,8.520707868305124,6.241265493658831,0.9155150039751494,0.2493432802576075,0.4055731467609912,6.024392795285507,-3.453999566215267,0.23574232397531583,0.13015686684912284,0.03906486425676578
OsloCTM,9.086662206011539,5.8547350824600874,1.0157129103757472,0.2932957713269949,0.4499608192964559,8.861490401600726,5.356683617953314,0.43506919227226865,0.21946020566471872,-0.037033045642530855
OsloCTM-emi,14.839059423371792,6.00759429129259,1.0253936155922123,0.296091157576838,0.4542493717073501,8.972300799826208,5.374400184952748,0.438611669685822,0.220880426924203,-0.03255990932894067
UKCA,8.932146475630361,5.993967983627558,1.1747373660597662,0.30943709975435146,0.5204086531644764,8.486806891337745,,0.3011434796589891,,
WACCM,9.132045744420056,5.823229699927142,1.2386011756941566,0.3588163238599056,0.5487003208325114,9.595667797991856,4.274844174882821,0.484010845528426,0.08185436041553257,
