,H2 burden [Tg],H2 lifetime [yrs],H2 atm.loss[Tg/yr],H2 drydep [Tg/yr],H2 atm. prod [Tg/yr],H2 atmospheric lifetime [yrs],H2 estimated emissions [Tg/yr]
OSLOCTM3,196.23519709866667,1.8104199190327661,28.39208905937533,80.0,56.326479619932435,6.911615298482871,52.0656094394429
WACCM6-2deg,194.5694,1.7846454527676996,29.02412,80.0,33.94021,6.70371401441284,75.08391
INCA,194.4,1.9035383880241588,22.1256,80.0,46.678000000000004,8.78620240807029,55.44759999999999
GFDL-emi,191.7,1.8771279257295779,22.1241,80.0,44.684,8.664759244443841,57.4401
OSLOCTM3-emi,208.86542062933339,1.8976355056320073,30.066142844313386,80.0,56.22571343575628,6.946864508389626,53.84042940855711
UKCA,191.8406,1.8022529594659695,26.444879999999998,80.0,48.95605,7.25435698706139,57.48883
