Sources/sinks,CNTR,antro01,antro1,antro10,antro100,nemo,epia,munich,usdrydep,maud,zep
Total production,88.04581997230927,88.14511119659193,89.03876453040043,97.9685901359877,187.3168873893948,89.0340587738249,89.03696702445058,89.03647404831132,89.03774730705992,89.03409248853661,89.03646379646494
CH2O+hv,55.76677927623145,55.76579023859089,55.756963888057356,55.668945479717365,54.827600954142355,55.75501502294316,55.757916885751165,55.757425135025095,55.758704606959554,55.755049728032766,55.75741161840042
H+HO2,0.009528293699538769,0.009528639353446621,0.009531749259916636,0.009562829232434877,0.00987331384886433,0.009531996168142761,0.009531171950794852,0.00953134034512409,0.009530950453451021,0.009531981222918267,0.009531281328000995
CH4+O1D,0.06629595769458844,0.06629564769222031,0.0662927313202605,0.0662637760062244,0.06597832228028995,0.06629250297566246,0.06629326815690605,0.06629312476171276,0.06629348956430813,0.06629252659763825,0.06629319815652202
Total loss,87.17247701621712,87.26937293983,88.14157560616898,96.85574561738453,183.9189950162253,88.13719662405737,88.14706935068511,88.1372533937614,88.14678712528418,88.13648712117153,88.14269187208193
Drydeposition,58.01014695869739,58.07812214973476,58.68999011062366,64.81077233780238,126.67739159583,58.65224797461957,58.725231388780344,58.69912482033385,58.74590313062571,58.652268504626726,58.707999522957515
H2+O1D,0.6220952220527395,0.6224323421547621,0.625466576296339,0.6558031848292372,0.961009130405274,0.6257483437932668,0.6249257321638505,0.625092022827829,0.6247046932286227,0.6257383997859702,0.625042187030466
H2+OH,28.507991498920642,28.536565764899127,28.793706588403484,31.355182525230926,56.230718837423446,28.826780804333847,28.764534761843322,28.780651040544797,28.743808849437794,28.826050678144394,28.777242101570916
H2+Cl,0.03223897466493056,0.03225630529139465,0.032412986089293716,0.03398055660617479,0.04986093777936989,0.032427927718453986,0.03238535588715278,0.032393858688772086,0.03237396515794611,0.03242735637395993,0.032391179393353176
Emis(est),-0.8733429560921593,-0.8757382567619203,-0.8971889242314433,-1.1128445186031684,-3.3978923731694977,-0.8968621497675286,-0.8898976737654607,-0.8992206545499215,-0.8909601817757391,-0.8976053673650881,-0.8937719243830173
