	an01	ant1	an10	a100	zepl	maud	nemo	epia	munc	usdd	maxd
NET_old	0.016	0.164	1.639	16.589	0.144	0.178	0.179	0.138	0.146	0.127	0.15
NET	0.01924	0.1934	1.936	19.65	0.1703	0.211	0.2113	0.1631	0.1728	0.1502	0.1847
