
Global mean O3 RF results using NRF method (*net*);
Case: OsloCTM3_senstest_yr10;

;Month;DU;SW clear;SW;LW inst. clear;LW inst.;LW adj.;NET adj.;
CNTR (mW m-2);1:12;
antro01-CNTR (mW m-2);1:12;0.00075071;-0.0017933;0.000337;0.02226;0.015766;0.021584;0.021921;
antro1-CNTR (mW m-2);1:12;0.0054261;0.017201;0.033515;0.21857;0.15298;0.18213;0.21564;
antro10-CNTR (mW m-2);1:12;0.049846;0.21379;0.36651;2.1622;1.5105;1.7519;2.1184;
antro100-CNTR (mW m-2);1:12;0.49497;2.0846;3.6008;21.3957;14.9578;17.3779;20.9787;
epia-CNTR (mW m-2);1:12;0.004251;0.020516;0.033685;0.18595;0.1297;0.14862;0.18231;
nemo-CNTR (mW m-2);1:12;0.0048488;0.026922;0.042718;0.22929;0.15933;0.18413;0.22685;
munich-CNTR (mW m-2);1:12;0.004675;0.019891;0.033787;0.19772;0.13815;0.15853;0.19232;
usdrydep-CNTR (mW m-2);1:12;0.0043544;0.014256;0.027274;0.17488;0.12255;0.14431;0.17158;
zep-CNTR (mW m-2);1:12;0.0053083;0.011405;0.027091;0.19765;0.13865;0.16506;0.19215;
maud-CNTR (mW m-2);1:12;0.0052633;0.021734;0.038552;0.2311;0.16095;0.18882;0.22737;
