Sources/sinks,CNTR,antro01,antro1,antro10,antro100,nemo,epia,munich,usdrydep,maud,zep
Total production,88.04562269573374,88.1449260054972,89.0383803343533,97.96651249543474,187.29823354547057,89.03361193398466,89.03664830099336,89.03613202824783,89.03740588146236,89.03369310310704,89.0360950972002
CH2O+hv,55.766566709800315,55.765606745372246,55.75658927941833,55.66687544163031,54.80899436667281,55.75457070928417,55.75759906715003,55.75708989390682,55.75835579957809,55.754639926889915,55.75704887755044
H+HO2,0.009528946415040563,0.0095294071484035,0.00953354700449829,0.009574907925259215,0.00998832246795395,0.009533968417106695,0.009532818071826597,0.009533051576832917,0.009532515009866634,0.009533961162194382,0.009532990677795379
CH4+O1D,0.06629527891583463,0.06629478208691757,0.0662903137325749,0.06624577430854774,0.06580914033693357,0.06628985885739887,0.06629108450072006,0.06629086522271825,0.06629145555485151,0.06628985839951358,0.0662909120391545
Total loss,87.18460595522787,87.28368801840043,88.17502681757298,97.08208109396416,186.18875333813412,88.17448792761087,88.17800885015464,88.16944869597133,88.17609686824373,88.1740269856508,88.17491446231234
Drydeposition,58.01790835278649,58.087246830074754,58.71139899981568,64.95593622563031,128.16669182374605,58.676124486586794,58.74499546484793,58.71969815414235,58.76464942058373,58.67629513778598,58.728622512016386
H2+O1D,0.6223665679119303,0.6227478034315158,0.6261796678255248,0.6604898412799539,1.005875780651562,0.6265375721638505,0.6255840474907834,0.6257763237625448,0.6253304689457245,0.6265317857831542,0.6257271924263953
H2+OH,28.512065847733748,28.54140713656119,28.804994423582183,31.431420076501794,56.96379520290015,28.83934996720942,28.775010940485412,28.79154693905991,28.75369557083462,28.83873084019253,28.788132511741946
H2+Cl,0.03225314988228047,0.032272960915490596,0.03245115826131272,0.03423521867197901,0.052391972379656294,0.03247009878739439,0.03242050764796147,0.032430488002824186,0.032407319815300185,0.032469826205469156,0.03242783347935068
Emis(est),-0.8610167405058746,-0.8612379870967715,-0.8633535167803217,-0.8844314014705787,-1.1094802073364463,-0.8591240063737899,-0.858639450838723,-0.8666833322765086,-0.8613090132186301,-0.8596661174562428,-0.8611806348878588
