Sources/sinks,CNTR,antro01,antro1,antro10,antro100,nemo,epia,munich,usdrydep,maud,zep
Total production,88.04709262223862,88.14661874429903,89.04201201296057,97.98930000678341,187.50089681499233,89.03769391995085,89.03998354084179,89.03962626800205,89.04062089685202,89.0377593889524,89.03960208388327
CH2O+hv,55.768053107317975,55.767299293394785,55.76021475919305,55.68965913619663,55.01160197827343,55.75865096448132,55.76094319767333,55.76058427659601,55.761582874732206,55.7587042427445,55.76055340742653
H+HO2,0.009526447042118696,0.00952648945140889,0.009526874338465661,0.009530724172695054,0.009569343914312517,0.009526812853784643,0.009526760034758225,0.00952677368984415,0.009526743154909915,0.009526801001622105,0.009526748733634951
CH4+O1D,0.06629475908518946,0.06629473621662187,0.06629457831043588,0.06629290841207437,0.06627597361285521,0.06629462591649066,0.0662946511515777,0.06629464463956093,0.06629465211290322,0.0662946383483103,0.06629467014797748
Total loss,87.08309417695034,87.1620627921106,87.87234403480186,94.96633494106709,165.58671375929546,87.83324083611267,87.89860326318076,87.87783229396416,87.91194110312341,87.83023560261341,87.88230979116436
Drydeposition,57.95260010704353,58.008768686402455,58.51436052524732,63.568870159172555,114.36182716362521,58.45357749844547,58.563137892358434,58.52979844294523,58.59277758724423,58.452068056700476,58.53804501454584
H2+O1D,0.6202698755643882,0.6203824889882233,0.6213967965992063,0.6315433411995648,0.7334327906399128,0.6213667445120328,0.6211625175085765,0.6212056167571685,0.621101237718382,0.621346937842166,0.621165196782386
H2+OH,28.47808062200512,28.5007509574767,28.704386185704042,30.733182918488485,50.45340452964669,28.72607837679468,28.682105320221197,28.694634696339993,28.66586960051204,28.724608723002564,28.690907673527906
H2+Cl,0.03214885756778834,0.032154789819412444,0.032207695997055814,0.03273739044074021,0.03804641767531522,0.03220688903202606,0.032195762565132166,0.03219812909159787,0.03219270758299731,0.032205835314708144,0.032195975735855094
Emis(est),-0.9639984452882828,-0.9845559521884297,-1.1696679781587136,-3.0229650657163205,-21.914183055696867,-1.2044530838381888,-1.1413802776610282,-1.1617939740378915,-1.1286797937286082,-1.2075237863389816,-1.1572922927189069
