Sources/sinks,CNTR,antro01,antro1,antro10,antro100,nemo,epia,munich,usdrydep,maud,zep
Total production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total loss,689.6981929216919,689.6681652576344,689.3994750689195,686.7262683376139,661.4735710456529,689.3536414140625,689.4288778571635,689.4123652915515,689.4511077068223,689.3547047928397,689.4143033797277
Drydep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH4 + OH -> H2O + CH3,672.8172955853273,672.7873055939049,672.5188337284915,669.8478136175812,644.6205435073999,672.4728408955085,672.5480143371798,672.5315750786689,672.570354841233,672.4739424827773,672.5335026793651
CH4 + O1D -> OH + CH3,7.9130003192462866,7.912963023236048,7.91261498569995,7.909159039660011,7.875088909362007,7.9125876913998985,7.912679214037891,7.912662390472096,7.912705132364568,7.9125910753405035,7.912670586058372
CH4 + O1D -> CH3O + H -O2-> CH2O + HO2 + H,2.110133301386585,2.1101234621228877,2.11003068162724,2.109109168276498,2.100023623075781,2.110023328138761,2.11004786196979,2.1100431904183305,2.11005487834255,2.1100241642186384,2.1100455285115207
CH4 + O1D -> H2 + CH2O,0.5275333253466462,0.5275308655307219,0.52750767040681,0.5272772920691245,0.5250059057689452,0.5275058320346903,0.5275119654924475,0.5275107976045826,0.5275137195856375,0.5275060410546596,0.5275113821278802
CH4 + Cl -> HCl + CH3,6.330289147124424,6.330277709186892,6.330518936322581,6.332900869955965,6.352841016342038,6.330597304233486,6.330552340793651,6.330528023308758,6.330486575830005,6.330586065597543,6.330513784683053
