
Global mean O3 RF results using NRF method (*net*);
Case: OsloCTM3_senstest_yr26;

;Month;DU;SW clear;SW;LW inst. clear;LW inst.;LW adj.;NET adj.;
CNTR (mW m-2);1:12;
antro01-CNTR (mW m-2);1:12;8.7876e-05;0.0075091;0.0079513;0.02043;0.01383;0.010943;0.018894;
antro1-CNTR (mW m-2);1:12;0.0039542;0.035473;0.048319;0.21094;0.1451;0.16318;0.2115;
antro10-CNTR (mW m-2);1:12;0.043081;0.30739;0.44572;2.1235;1.4654;1.6965;2.1422;
antro100-CNTR (mW m-2);1:12;0.43861;2.9048;4.3066;21.1559;14.6269;17.098;21.4046;
epia-CNTR (mW m-2);1:12;0.0034511;0.033346;0.044671;0.18249;0.12526;0.13861;0.18328;
nemo-CNTR (mW m-2);1:12;0.0039535;0.041269;0.054978;0.22588;0.15473;0.17484;0.22981;
munich-CNTR (mW m-2);1:12;0.0033428;0.037259;0.048532;0.1948;0.13396;0.14711;0.19564;
usdrydep-CNTR (mW m-2);1:12;0.0029194;0.032594;0.04244;0.16784;0.11543;0.12565;0.16809;
zep-CNTR (mW m-2);1:12;0.0035394;0.034405;0.045722;0.18904;0.12999;0.14412;0.18984;
maud-CNTR (mW m-2);1:12;0.0049344;0.029449;0.045693;0.23047;0.15893;0.18672;0.23241;
maxdep-CNTR (mW m-2);1:12;0.0035367;0.033895;0.045378;0.19752;0.13605;0.15574;0.20112;
