Sources/sinks,CNTR,antro01,antro1,antro10,antro100,nemo,epia,munich,usdrydep,maud,zep,maxdep
Total production,88.04562431406862,88.14489230992321,89.03837840263803,97.96645385501692,187.2978185077645,89.0336380175238,89.03661893054789,89.03609689016692,89.03742487447005,89.03363169130569,89.03610209563135,89.03649982086228
CH2O+hv,55.766572641900666,55.76556847109473,55.75658008074552,55.66682153421403,54.808593182894015,55.754601952237586,55.75757357508653,55.757052496376865,55.75837805736407,55.75459023695239,55.757049793171525,55.757468897048646
H+HO2,0.009528983514700941,0.009529449557693694,0.009533647024695582,0.009575580001308086,0.009994786067440318,0.009534078767173099,0.009532910959759427,0.009533147158638153,0.00953260232403874,0.00953407245591918,0.009533086393345176,0.009533442736013106
CH4+O1D,0.06629522686525537,0.06629472604269074,0.06629012602412955,0.0662444041077989,0.06579661802888186,0.06628963172409434,0.06629091945292499,0.0662906620045763,0.06629126500564836,0.06628965729792306,0.06629073448711918,0.06629038304145866
Total loss,87.18495470340196,87.28406064568561,88.17599120521044,97.08850681277215,186.2551310496508,88.17557870205837,88.17885849988328,88.17035049962111,88.17694461257143,88.17504690023553,88.1758312316723,88.17405598051819
Drydeposition,58.01813037146545,58.087505947854595,58.712001350513056,64.96002957343165,128.20973751702613,58.67679793397645,58.745556359021,58.72027747556376,58.76518245619253,58.676973183614955,58.729206468956484,58.73413500493601
H2+O1D,0.6223741554732463,0.6227566501587302,0.6262005392375832,0.6606308984921916,1.0072301167025088,0.626560801703917,0.6256034903474142,0.6257963581228879,0.6253488343141321,0.6265553703338455,0.6257473148128521,0.6260277621330006
H2+OH,28.512191971698925,28.541515625101898,28.805336870656433,31.433597910881726,56.985666386850994,28.839760157087557,28.775282975041478,28.791837062066563,28.75400599927906,28.839058494394266,28.78845717387814,28.781453918242704
H2+Cl,0.032253536932027656,0.03227337090681004,0.03245233059720623,0.03424370930634761,0.05247825494259633,0.03247153557132457,0.0324215780342902,0.03243163050725647,0.032408496397145416,0.032471064722726255,0.03242898566128233,0.03244301968292371
Emis(est),-0.8606696106666618,-0.8608316642375939,-0.8623871974275943,-0.8779470422447702,-1.0426874581137042,-0.8580593154654252,-0.8577604306646123,-0.8657463905458087,-0.8604802618986156,-0.8585847910701574,-0.8602708639590446,-0.8624438403440848
