Sources/sinks,10CH4_SSP119,10CH4_SSP434,10CH4_SSP585,CNTR_SSP119,CNTR_SSP434,CNTR_SSP585,antro10_SSP119,antro10_SSP434,antro10_SSP585
Total production,79.40126969254275,95.65609505649974,101.25721259977472,77.26548665334562,92.66935174005123,97.89074770965694,87.19603159915617,102.59403024349002,107.81027385590168
CH2O+hv,47.13226551221711,63.35431728478443,68.94660932676292,45.00124007193037,60.374888767787006,65.58816630011674,44.91117210826422,60.27896858527393,65.48710827040246
H+HO2,0.00899812961781954,0.010482732254584294,0.01082692010012641,0.008829506727744576,0.010247045670958941,0.010572830706625224,0.008846341284540211,0.0102626818421879,0.010587993829625096
CH4+O1D,0.056796426864535336,0.088074703531186,0.09656444990482589,0.05219885436986368,0.08098234598990336,0.08877654853291411,0.05218906250313621,0.08096742172300628,0.08876073833154123
Total loss,78.27065885212905,94.14526722621609,99.63346945376345,76.51233803204096,91.70040994318487,96.8599948803277,85.45218173689709,100.58387258837074,105.77251783917256
Drydeposition,53.22806677727394,65.73593157931388,68.48520653837174,51.546317124661556,63.419428643883265,65.88689707385151,57.939226097974405,69.9213940271828,72.30935315906196
H2+O1D,0.5643030626827957,0.7187189276657707,0.751153974733871,0.5475948578558629,0.6947661680395546,0.724739730967102,0.5701453952439836,0.7173946078374297,0.7470982859897592
H2+OH,24.44813440808603,27.656926600745525,30.361880379723505,24.388456285362007,27.552753048847922,30.213371123399895,26.911591030468,29.910547851698926,32.680013330023556
H2+Cl,0.030152239371495772,0.03368748394385241,0.03522604700325621,0.029974266936131918,0.03346315039244912,0.03498754078382616,0.0312175346498976,0.034542059881168395,0.03605258121693389
Emis(est),-1.1306108404137092,-1.5108278302836453,-1.6237431460112646,-0.7531486213046605,-0.9689417968663605,-1.0307528293292307,-1.7438498622590828,-2.0101576551192863,-2.0377560167291193
