Sources/sinks,10CH4_SSP119,10CH4_SSP434,10CH4_SSP585,CNTR_SSP119,CNTR_SSP434,CNTR_SSP585,antro10_SSP119,antro10_SSP434,antro10_SSP585
Total production,79.41224518221405,95.67317521987508,101.27664856113876,77.26566462712137,92.6694199864168,97.89203803926677,87.18745543864823,102.58430517287456,107.8017144445018
CH2O+hv,47.142597220383,63.37048693205529,68.96504596455097,45.00141942063288,60.37497401683564,65.58946479795188,44.90259069564363,60.269255878832574,65.47854478266463
H+HO2,0.009074183325876856,0.010606328662222381,0.010978041086161516,0.008821677444892472,0.010254749626982128,0.010599835546800995,0.008863444261264721,0.010293802497289827,0.010637388896321364
CH4+O1D,0.05736302949135944,0.08885990625593637,0.0974035726014945,0.052208223552387356,0.08097503091473056,0.08876811357891705,0.052175423744559656,0.0809272765950461,0.08871782260384665
Total loss,78.53650787037789,94.66520282691243,100.23734594429902,76.45686247797646,91.75988122943575,96.95691116768869,86.24712364449358,101.5332890099744,106.73168317581566
Drydeposition,53.398325089482846,66.07736364959754,68.87452663317563,51.510677331244246,63.45863620005326,65.94846258888684,58.46458266237379,70.56325410079263,72.94483851653045
H2+O1D,0.5711528048315412,0.7311445514692781,0.765190109688812,0.5463419061897082,0.6961292663425501,0.7267899877548644,0.5829978538040195,0.7328295963495903,0.7627297804564771
H2+OH,24.536592587264725,27.822515408634924,30.561798779272916,24.3699467324977,27.571606593859702,30.246544680331798,27.167613585773683,30.20193209441884,32.98726219439222
H2+Cl,0.030435213319108423,0.03417646033818165,0.035831168316148236,0.02990376724278354,0.03351178279072261,0.03511513633689356,0.03192299783210126,0.03527856032757296,0.036849844742231505
Emis(est),-0.8757373118361613,-1.0079723929626425,-1.0393026168397341,-0.8088021491449098,-0.9095387569810498,-0.9351268715780776,-0.9403317941546447,-1.0510161629001686,-1.0700312686861366
