Sources/sinks,10CH4_SSP119,10CH4_SSP434,10CH4_SSP585,CNTR_SSP119,CNTR_SSP434,CNTR_SSP585,antro10_SSP119,antro10_SSP434,antro10_SSP585
Total production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total loss,559.4451253546339,791.1825456453867,915.8995788814422,524.5839939917993,743.7872710037564,862.4688511365571,521.6757593078302,740.8828207689668,859.3355043163627
Drydep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH4 + OH -> H2O + CH3,544.6138539196231,769.4665728116662,892.109852694415,510.9272565437543,723.7651361095177,840.5160131274388,508.0219789463267,720.863780906077,837.3852584180073
CH4 + O1D -> OH + CH3,6.846773683922172,10.606219321685613,11.62598258194982,6.2315010455698925,9.665084745671276,10.595259336571429,6.227586522725038,9.65938585553098,10.58925622713569
CH4 + O1D -> CH3O + H -O2-> CH2O + HO2 + H,1.8258062885135689,2.828325063897593,3.100262036794675,1.6617337192560164,2.577356039484895,2.8254025051971325,1.660689698710702,2.5758361140727093,2.8238016920471067
CH4 + O1D -> H2 + CH2O,0.4564515721283922,0.7070812659743982,0.7750655091986688,0.4154334298140041,0.6443390098712237,0.7063506262992831,0.4151724246776755,0.6439590285181773,0.7059504230117767
CH4 + Cl -> HCl + CH3,5.70229621055402,7.57431688338761,8.288590432909372,5.347980294167947,7.135382492208909,7.825809927217615,5.350450917605734,7.13988839534255,7.831270015481824
