Sources/sinks,10CH4_SSP119,10CH4_SSP434,10CH4_SSP585,CNTR_SSP119,CNTR_SSP434,CNTR_SSP585,antro10_SSP119,antro10_SSP434,antro10_SSP585
Total production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total loss,559.2682618355678,790.9084067229165,915.5629510762438,524.5695830463246,743.8077156470496,862.449156883924,521.9188834322089,741.1677880908552,859.5870723068593
Drydep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH4 + OH -> H2O + CH3,544.5626045723134,769.359697173104,891.959883456033,510.91471173813414,723.7811854844855,840.4996806479304,508.2650241849544,721.1421523495586,837.6379701083625
CH4 + O1D -> OH + CH3,6.779143340249873,10.512495139152074,11.525822196567335,6.230382579789043,9.66595852718894,10.596265681155145,6.229214079217614,9.66417756551357,10.59437816190681
CH4 + O1D -> CH3O + H -O2-> CH2O + HO2 + H,1.8077715743348695,2.803331934697901,3.073552622013313,1.6614354100076805,2.5775889521710194,2.8256708296487454,1.661123795733743,2.577113759848438,2.8251675039559654
CH4 + O1D -> H2 + CH2O,0.45194289358371736,0.7008329836744752,0.7683881555033283,0.4153588525019201,0.6443972380427548,0.7064177074121863,0.41528094893343576,0.6442784399621095,0.7062918759889913
CH4 + Cl -> HCl + CH3,5.6667904313814645,7.531962292956478,8.235347180419867,5.347706449002561,7.138542720593957,7.821013881939582,5.348276538633897,7.140140424086021,7.823140006902205
